Business Key,Business Name,Business Address,Longitude,Latitude,Project Location,Has Incoming Location,Incoming_OnStreetID,Incoming_OrientationID,Incoming_FromID,Incoming_ToID,Incoming_WhereTypeID,Incoming_ParkingTypeID,Has Incoming Volume,Incoming Parking Type,Incoming Vehicle Type,Monday Total,Tuesday Total,Wednesday Total,Thursday Total,Friday Total,Saturday Total,Sunday Total,Total Weekly Deliveries,Average Daily Weekday,Has Outgoing Deliveries,Make Deliveries Daily Total,Make Delivery Vehicles Fixed,Outgoing Where On Block,Outgoing Parking Type,Business_OnStreet,Business_Orientation,Business_From,Business_To,Has Double Parking Survey,Double Parking,Source Count,Survey Year
"Jersey Mike’s Subs | 117 Livingston St, Brooklyn, NY, 11201, USA",Jersey Mike’s Subs,"117 Livingston St, Brooklyn, NY, 11201, USA",-73.989137182425,40.691004872778,Livingston Street,1,LIVINGSTON STREET,North,BOERUM PLACE,SMITH STREET,Around the corner at BOERUM PLACE,No standing zone,1,No standing zone,Box truck,2,0,2,0,0,2,0,6,0.8,1,100.0,E-Bike,In front of the business,Blocking sidewalk,LIVINGSTON STREET,North,Boerum Place,Smith Street,1,Never/rarely,1,2026
"Chick Fil A | 161 Livingston St, Brooklyn, NY, 11201, USA",Chick Fil A,"161 Livingston St, Brooklyn, NY, 11201, USA",-73.987523100333,40.690534985946,Livingston Street,1,LIVINGSTON STREET,North,SMITH STREET,GALLATIN PLACE,In front of the business,Commercial metered parking,1,Commercial metered parking,"Tractor trailer (48"" & up)",1,0,1,0,1,0,0,3,0.6,1,300.0,E-Bike,In front of the business,Bike parking on sidewalk,LIVINGSTON STREET,North,Smith Street,Gallatin Place,1,Never/rarely,1,2026
"Kingbridge Cleaners & Tailors | 202 Livingston St, Brooklyn, NY, 11201, USA",Kingbridge Cleaners & Tailors,"202 Livingston St, Brooklyn, NY, 11201, USA",-73.986183085472,40.689668171429,Livingston Street,1,Livingston Street,,GALLATIN PLACE,HOYT STREET,,,1,,,0,0,0,0,0,0,0,0,0.0,0,,,,,,,,,1,Never/rarely,1,2026
"Poke fan | 206 Livingston St, Brooklyn, NY, 11201, USA",Poke fan,"206 Livingston St, Brooklyn, NY, 11201, USA",-73.986053920344,40.689538503387,Livingston Street,1,Livingston Street,South,,,,Don't know,1,Don't know,Cargo van,0,0,1,0,0,0,0,1,0.2,1,,E-Bike,In front of the business,Blocking sidewalk,LIVINGSTON STREET,South,Smith Street,Hoyt Street,1,Unsure,1,2026
"Dallas BBQ | 180 Livingston St, Brooklyn, NY, 11201, USA",Dallas BBQ,"180 Livingston St, Brooklyn, NY, 11201, USA",-73.986938378768,40.689738830873,Livingston Street,1,LIVINGSTON STREET,South,SMITH STREET,HOYT STREET,In front of the business,No parking anytime,1,No parking anytime,"Tractor trailer (48"" & up)",0,0,0,0,1,0,0,1,0.2,1,40.0,E-Bike,In front of the business,Bike parking on sidewalk,LIVINGSTON STREET,South,Smith Street,Hoyt Street,1,Once or twice a day,1,2026
"St Francis College | 179 Livingston St, Brooklyn, NY, 11201, USA",St Francis College,"179 Livingston St, Brooklyn, NY, 11201, USA",-73.986592960538,40.690121464753,Livingston Street,1,LIVINGSTON STREET,North,GALLATIN PLACE,HOYT STREET,In front of the business,Don't know,1,Don't know,E-Bike,0,0,0,0,0,0,0,0,0.0,0,,,,,,,,,1,Never/rarely,1,2026
"Solidcore | 219 Livingston St, Brooklyn, NY, 11201, USA",Solidcore,"219 Livingston St, Brooklyn, NY, 11201, USA",-73.985178194321,40.689471053421,Livingston Street,1,LIVINGSTON STREET,North,HOYT STREET,ELM PLACE,Don't know,Don't know,1,Don't know,Don't know,0,0,0,0,0,0,0,0,0.0,0,,,,,,,,,1,Once or twice a day,1,2026
"taïm Mediterranean kitchen | 11 Hoyt St, Brooklyn, NY, 11201, USA",taïm Mediterranean kitchen,"11 Hoyt St, Brooklyn, NY, 11201, USA",-73.985359814943,40.690005291575,Livingston Street,1,LIVINGSTON STREET,North,HOYT STREET,ELM PLACE,In front of the business,Double parked,1,Double parked,Box truck,1,0,0,1,1,0,0,3,0.6,1,40.0,E-Bike,Don't know,Don't know,LIVINGSTON STREET,North,Hoyt Street,Elm Place,1,Consistently,1,2026
"Oakberry | 230 Livingston St, Brooklyn, NY, 11217, USA",Oakberry,"230 Livingston St, Brooklyn, NY, 11217, USA",-73.983311701543,40.688622478726,Livingston Street,1,LIVINGSTON STREET,South,HOYT STREET,ELM PLACE,Across the street,No standing zone,1,No standing zone,Box truck,1,0,0,1,0,0,0,2,0.4,1,30.0,E-Bike,In front of the business,Blocking sidewalk,LIVINGSTON STREET,South,Hoyt Street,Bond Street,1,Consistently,1,2026
"Edible Arrangements | 224 Livingston St, Brooklyn, NY, 11201, USA",Edible Arrangements,"224 Livingston St, Brooklyn, NY, 11201, USA",-73.985216232941,40.689214249462,Livingston Street,1,LIVINGSTON STREET,South,HOYT STREET,ELM PLACE,Across the street,Double parked,1,Double parked,"Tractor trailer (48"" & up)",1,1,1,1,1,1,0,6,1.0,1,30.0,"Car,E-Bike",,Double parked,LIVINGSTON STREET,South,Hoyt Street,Bond Street,1,Never/rarely,1,2026
"Natural Deli | 228 Livingston St, Brooklyn, NY, 11201, USA",Natural Deli,"228 Livingston St, Brooklyn, NY, 11201, USA",-73.985038536594,40.689235958592,Livingston Street,1,LIVINGSTON STREET,South,HOYT STREET,ELM PLACE,Across the street,Double parked,1,Double parked,Box truck,4,4,2,2,2,0,0,14,2.8,0,,,,,,,,,1,Consistently,1,2026
"Goodwill | 258 Livingston St, Brooklyn, NY, 11201, USA",Goodwill,"258 Livingston St, Brooklyn, NY, 11201, USA",-73.984069588587,40.688846283913,Livingston Street,1,SCHERMERHORN STREET,South,HOYT STREET,BOND STREET,In front of the business,Double parked,1,Double parked,Box truck,3,3,3,3,3,3,3,21,3.0,0,,,,,,,,,1,Consistently,1,2026
"Yay scrubs  | 254 Livingston St, Brooklyn, NY, 11201, USA",Yay scrubs ,"254 Livingston St, Brooklyn, NY, 11201, USA",-73.98391779232,40.688787359134,Livingston Street,1,LIVINGSTON STREET,South,HOYT STREET,BOND STREET,Down the block,Bus lane,1,Bus lane,"Mail truck (e.g. USPS, FedEx, etc.)",0,0,0,0,0,0,0,0,0.0,0,,,,,,,,,1,Consistently,1,2026
"Cadet Athletic Performance | 229 Livingston St, Brooklyn, NY, 11201, USA",Cadet Athletic Performance,"229 Livingston St, Brooklyn, NY, 11201, USA",-73.984387681812,40.689261104301,Livingston Street,1,LIVINGSTON STREET,North,ELM PLACE,BOND STREET,Down the block,Metered parking,1,Metered parking,"Mail truck (e.g. USPS, FedEx, etc.)",0,0,0,0,0,0,0,0,0.0,0,,,,,,,,,1,Consistently,1,2026
"iHop | 253 Livingston St, Brooklyn, NY, 11201, USA",iHop,"253 Livingston St, Brooklyn, NY, 11201, USA",-73.983781754032,40.689020292223,Livingston Street,1,LIVINGSTON STREET,North,ELM PLACE,BOND STREET,In front of the business,Double parked,1,Double parked,"Tractor trailer (48"" & up)",1,0,0,1,0,0,0,2,0.4,1,40.0,"Car,E-Bike,Other",In front of the business,Bike parking on sidewalk,LIVINGSTON STREET,North,Elm Place,Bond Street,1,Consistently,1,2026
"A&r discount inc Beauty supply | 261 Livingston St, Brooklyn, New York 11217",A&r discount inc Beauty supply,"261 Livingston St, Brooklyn, New York 11217",-73.9830963954767,40.6888255156948,Livingston Street,1,Livingston Street,,BOND STREET,NEVINS STREET,,,1,,,0,0,0,0,0,0,0,0,0.0,0,,,,,,,,,1,Consistently,1,2026
"African Jewelry Store | 257 Livingston St, Brooklyn, NY, 11217, USA",African Jewelry Store,"257 Livingston St, Brooklyn, NY, 11217, USA",-73.983256292522,40.688806134597,Livingston Street,1,LIVINGSTON STREET,North,BOND STREET,HANOVER PLACE,In front of the business,Don't know,1,Don't know,Car/Minivan/SUV,0,0,0,0,0,0,0,0,0.0,0,,,,,,,,,1,Consistently,1,2026
"Pups Pet Club | 302 Livingston St, Brooklyn, NY, 11217, USA",Pups Pet Club,"302 Livingston St, Brooklyn, NY, 11217, USA",-73.982604012816,40.688216006704,Livingston Street,1,Livingston Street,South,,,,Don't know,1,Don't know,Don't know,0,0,0,0,0,0,0,0,0.0,0,,,,,,,,,1,Never/rarely,1,2026
"Pups Pet Club | 302 Livingston St, Brooklyn, NY, 11217, USA",Pups Pet Club,"302 Livingston St, Brooklyn, NY, 11217, USA",-73.982604012816,40.688216006704,Livingston Street,1,LIVINGSTON STREET,South,HANOVER PLACE,NEVINS STREET,,Don't know,1,Don't know,Don't know,0,0,0,0,0,0,0,0,0.0,0,,,,,LIVINGSTON STREET,South,Bond Street,Nevins Street,1,Never/rarely,1,2026
"Devotion Coffee Store | 33 Bond St, Brooklyn, NY, 11201, USA",Devotion Coffee Store,"33 Bond St, Brooklyn, NY, 11201, USA",-73.983587545335,40.688546505146,Livingston Street,1,LIVINGSTON STREET,South,BOND STREET,NEVINS STREET,Don't know,Don't know,1,Don't know,Cargo van,4,3,3,3,3,3,0,19,3.2,0,,,,,,,,,1,Consistently,1,2026
"Kashi Indian Cuisine & Bar | 286 Livingston St, Brooklyn, NY, 11217, USA",Kashi Indian Cuisine & Bar,"286 Livingston St, Brooklyn, NY, 11217, USA",-73.9831590576706,40.6884394029666,Livingston Street,1,Livingston Street,South,,,Don't know,Don't know,1,Don't know,Don't know,2,2,2,2,2,0,0,10,2.0,1,30.0,"Car,E-Bike",In front of the business,Bike parking on sidewalk,LIVINGSTON STREET,South,Bond Street,Nevins Street,1,Never/rarely,1,2026
"Tend | 302 Livingston St, Brooklyn, NY, 11217, USA",Tend,"302 Livingston St, Brooklyn, NY, 11217, USA",-73.982604012816,40.688216006704,Livingston Street,1,LIVINGSTON STREET,South,HANOVER PLACE,NEVINS STREET,Across the street,Metered parking,1,Metered parking,"Mail truck (e.g. USPS, FedEx, etc.)",1,0,1,0,1,0,0,3,0.6,1,2.0,Cargo_van,Across the street,Metered parking,LIVINGSTON STREET,South,Bond Street,Nevins Street,1,Consistently,1,2026
"Tend | 302 Livingston St, Brooklyn, NY, 11217, USA",Tend,"302 Livingston St, Brooklyn, NY, 11217, USA",-73.982604012816,40.688216006704,Livingston Street,1,LIVINGSTON STREET,South,HANOVER PLACE,NEVINS STREET,Across the street,Metered parking,1,Metered parking,"Mail truck (e.g. USPS, FedEx, etc.)",1,0,1,0,1,0,0,3,0.6,1,2.0,Cargo_van,Across the street,Metered parking,LIVINGSTON STREET,South,Bond Street,Nevins Street,1,Consistently,1,2026
"Portabella | 320 Livingston St, Brooklyn, NY, 11217, USA",Portabella,"320 Livingston St, Brooklyn, NY, 11217, USA",-73.9820153,40.6880700627578,Livingston Street,1,LIVINGSTON STREET,South,HANOVER PLACE,NEVINS STREET,Across the street,Double parked,1,Double parked,Box truck,1,2,0,0,0,0,0,3,0.6,0,,,,,,,,,1,Never/rarely,1,2026
"Patty plus | 324 Livingston St, Brooklyn, NY, 11217, USA",Patty plus,"324 Livingston St, Brooklyn, NY, 11217, USA",-73.98187311086,40.687910318695,Livingston Street,1,LIVINGSTON STREET,South,BOND STREET,NEVINS STREET,Don't know,Metered parking,1,Metered parking,Car/Minivan/SUV,0,0,0,0,0,0,1,1,0.0,0,,,,,,,,,1,Consistently,1,2026
"Atti | 294 Livingston St, Brooklyn, NY, 11217, USA",Atti,"294 Livingston St, Brooklyn, NY, 11217, USA",-73.98316903691,40.688261981443,Livingston Street,1,HANOVER PLACE,South,FULTON STREET,LIVINGSTON STREET,Across the street,Non metered parking (ASP),1,Non metered parking (ASP),Box truck,0,1,0,0,0,0,0,1,0.2,1,60.0,"Car,E-Bike",In front of the business,Bike parking on sidewalk,LIVINGSTON STREET,South,Bond Street,Nevins Street,1,Never/rarely,1,2026
"The Livingston Hotel | 291 Livingston St, Brooklyn, NY, 11217, USA",The Livingston Hotel,"291 Livingston St, Brooklyn, NY, 11217, USA",-73.981855005949,40.688478737459,Livingston Street,1,LIVINGSTON STREET,North,HANOVER PLACE,NEVINS STREET,In front of the business,Fire hydrant,1,Fire hydrant,Box truck,3,3,3,3,3,2,2,19,3.0,0,,,,,,,,,1,Consistently,1,2026
"Nevins Foodmart | 26 Nevins St, Brooklyn, NY, 11201, USA",Nevins Foodmart,"26 Nevins St, Brooklyn, NY, 11201, USA",-73.9814074000016,40.6881855984942,Livingston Street,1,LIVINGSTON STREET,North,HANOVER PLACE,NEVINS STREET,Down the block,Metered parking,1,Metered parking,"Tractor trailer (48"" & up)",0,1,0,1,0,0,0,2,0.4,0,,,,,,,,,1,Consistently,1,2026
"Afrikart | 295 Livingston St, Brooklyn, NY, 11217, USA",Afrikart,"295 Livingston St, Brooklyn, NY, 11217, USA",-73.981757608234,40.68840074385,Livingston Street,1,LIVINGSTON STREET,North,HANOVER PLACE,NEVINS STREET,In front of the business,No standing zone,1,No standing zone,"Mail truck (e.g. USPS, FedEx, etc.)",1,1,1,1,1,0,0,5,1.0,0,,,,,,,,,1,Consistently,1,2026
"Brooklyn Martial Arts | 293 Livingston St, Brooklyn, NY, 11217, USA",Brooklyn Martial Arts,"293 Livingston St, Brooklyn, NY, 11217, USA",-73.981828016221,40.68841457399,Livingston Street,1,LIVINGSTON STREET,North,HANOVER PLACE,NEVINS STREET,In front of the business,Fire hydrant,1,Fire hydrant,"Mail truck (e.g. USPS, FedEx, etc.)",0,0,2,0,2,0,0,4,0.8,0,,,,,,,,,1,Never/rarely,1,2026
