Business Key,Business Name,Business Address,Longitude,Latitude,Project Location,Has Incoming Location,Incoming_OnStreetID,Incoming_OrientationID,Incoming_FromID,Incoming_ToID,Incoming_WhereTypeID,Incoming_ParkingTypeID,Has Incoming Volume,Incoming Parking Type,Incoming Vehicle Type,Monday Total,Tuesday Total,Wednesday Total,Thursday Total,Friday Total,Saturday Total,Sunday Total,Total Weekly Deliveries,Average Daily Weekday,Has Outgoing Deliveries,Make Deliveries Daily Total,Make Delivery Vehicles Fixed,Outgoing Where On Block,Outgoing Parking Type,Business_OnStreet,Business_Orientation,Business_From,Business_To,Has Double Parking Survey,Double Parking,Source Count,Survey Year
COOKIES | 265 LIVINGSTON ST BROOKLYN NY 11217 USA,Cookies,"265 Livingston St, Brooklyn, NY, 11217, USA",-73.98294767,40.68868749,LIVINGSTON STREET,1,LIVINGSTON STREET,North,BOND STREET,HANOVER PLACE,In front of the business,Double parked,1,Double parked,Box truck,2,2,2,2,2,0,0,10,2.0,1,,,,,LIVINGSTON STREET,North,BOND STREET,HANOVER PLACE,1,Consistently,1,2022
DEVOCION | 276 LIVINGSTON ST BROOKLYN NY 11201,Devocion,"276 Livingston St, Brooklyn, NY 11201",-73.98343223,40.68866867,LIVINGSTON STREET,1,LIVINGSTON STREET,South,BOND STREET,NEVINS STREET,In front of the business,Metered parking,1,Metered parking,Box truck,2,1,0,1,0,0,0,4,0.8,1,,,,,LIVINGSTON STREET,South,BOND STREET,NEVINS STREET,1,Once or twice a day,1,2022
LONG SHORT | 278 LIVINGSTON ST BROOKLYN NY 11217 USA,Long & Short,"278 Livingston St, Brooklyn, NY, 11217, USA",-73.98337489,40.68864652,LIVINGSTON STREET,1,LIVINGSTON STREET,South,BOND STREET,NEVINS STREET,Down the block,Double parked,1,Double parked,"Mail truck (e.g. USPS, FedEx, etc.)",0,0,0,0,0,0,0,0,0.0,1,,,,,LIVINGSTON STREET,South,BOND STREET,NEVINS STREET,1,Consistently,1,2022
HONEY NAIL SALON | 280 LIVINGSTON ST BROOKLYN NY 11217 USA,Honey Nail Salon,"280 Livingston St, Brooklyn, NY, 11217, USA",-73.98331755,40.68862437,LIVINGSTON STREET,1,LIVINGSTON STREET,South,BOND STREET,NEVINS STREET,In front of the business,Double parked,1,Double parked,"Mail truck (e.g. USPS, FedEx, etc.)",0,0,0,0,0,0,0,0,0.0,1,,,,,LIVINGSTON STREET,South,BOND STREET,NEVINS STREET,1,Once or twice a day,1,2022
ATTI FINE KOREAN BBQ | 294 LIVINGSTON ST BROOKLYN NY 11217 USA,ATTI FINE KOREAN BBQ,"294 Livingston St, Brooklyn, NY, 11217, USA",-73.9829162,40.6884693,LIVINGSTON STREET,1,,,,,,,1,,,0,0,0,0,0,0,0,0,0.0,1,,,,,,,,,1,,1,2022
KUUN KOREA TASTE | 290 LIVINGSTON ST BROOKLYN NY 11217 USA,KUUN  KOREA TASTE,"290 Livingston St, Brooklyn, NY, 11217, USA",-73.98303088,40.6885136,LIVINGSTON STREET,1,,,,,,,1,,,0,0,0,0,0,0,0,0,0.0,1,,,,,,,,,1,,1,2022
BURGER VILLAGE | 286 LIVINGSTON ST BROOKLYN NY 11217 USA,Burger Village,"286 Livingston St, Brooklyn, NY, 11217, USA",-73.98314555,40.68855791,LIVINGSTON STREET,1,LIVINGSTON STREET,South,BOND STREET,NEVINS STREET,In front of the business,Bus lane,1,Bus lane,Box truck,1,0,0,0,0,0,0,1,0.2,1,2.0,"Made_by_business,Third_party",In front of the business,Bike parking on sidewalk,LIVINGSTON STREET,South,BOND STREET,NEVINS STREET,1,Once or twice a day,1,2022
PS FAMILY CHILDCARE NETWORK | 297 LIVINGSTON ST BROOKLYN NY 11217 USA,PS Family Childcare Network,"297 Livingston St, Brooklyn, NY, 11217, USA",-73.98179114,40.68823998,LIVINGSTON STREET,1,LIVINGSTON STREET,North,BOND STREET,HANOVER PLACE,Down the block,Bus lane,1,Bus lane,"Mail truck (e.g. USPS, FedEx, etc.)",4,4,4,4,4,0,0,20,4.0,1,,,,,LIVINGSTON STREET,North,BOND STREET,HANOVER PLACE,1,Consistently,1,2022
MATTRESS FIRM | 268 LIVINGSTON ST BROOKLYN NY 11201 USA,Mattress Firm,"268 Livingston St, Brooklyn, NY, 11201, USA",-73.98380397,40.6886742,LIVINGSTON STREET,1,,,,,,,1,,,0,0,0,0,0,0,0,0,0.0,1,,,,,,,,,1,,1,2022
MAX STYLIST SALON AND NATURAL SOAPS | 299 LIVINGSTON ST BROOKLYN NY 11217 USA,Max Stylist Salon and Natural Soaps,"299 Livingston St, Brooklyn, NY, 11217, USA",-73.98172445,40.6881391,LIVINGSTON STREET,1,LIVINGSTON STREET,North,BOND STREET,HANOVER PLACE,Across the street,Double parked,1,Double parked,"Mail truck (e.g. USPS, FedEx, etc.)",0,0,0,1,0,0,0,1,0.2,1,,,,,LIVINGSTON STREET,North,BOND STREET,HANOVER PLACE,1,Consistently,1,2022
